frame.time_epoch,ip.src,ip.dst,frame.len,tcp.port,udp.port,ip.proto,frame.time_delta,tcp.flags,ip.len,icmp.type,tcp.stream,tcp.seq,tcp.ack,ip.flags.df,tcp.window_size,ip.ttl,tcp.analysis.flags,http.request.uri,http.response.code,anomaly
1762618222.362256000,172.17.19.207,192.34.20.166,413,59282.0,,6,0.000155000,0x0018,399,,1,1067,6053,True,250,128,,,,-1
1762618222.362305000,172.17.19.207,192.34.20.166,376,57889.0,,6,0.000049000,0x0018,362,,3,1,3033,True,255,128,,,,-1
1762618222.362668000,172.17.19.207,192.34.20.166,413,57889.0,,6,0.000363000,0x0018,399,,3,323,3033,True,255,128,,,,-1
1762618222.363948000,172.17.19.207,192.34.20.166,66,58532.0,,6,0.001280000,0x0002,52,,14,0,0,True,65535,128,,,,-1
1762618222.375873000,172.17.19.207,104.26.0.211,86,,54247.0,17,0.011925000,,72,,,,,True,,128,,,,-1
1762618222.411830000,172.17.19.207,104.26.0.211,86,,54247.0,17,0.032518000,,72,,,,,True,,128,,,,-1
1762618222.448816000,172.17.22.140,172.17.23.255,82,,55160.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618222.449211000,172.17.22.140,255.255.255.255,82,,55161.0,17,0.000395000,,68,,,,,False,,128,,,,-1
1762618222.450019000,172.17.17.104,224.0.0.251,110,,59177.0,17,0.000808000,,96,,,,,False,,1,,,,-1
1762618222.451817000,172.17.23.84,239.255.255.250,212,,49154.0,17,0.000439000,,198,,,,,False,,1,,*,,-1
1762618222.652845000,172.17.22.140,255.255.255.255,82,,55161.0,17,0.000142000,,68,,,,,False,,128,,,,-1
1762618222.653043000,172.17.22.140,172.17.23.255,82,,55160.0,17,0.000198000,,68,,,,,False,,128,,,,-1
1762618222.653291000,172.17.17.104,224.0.0.251,102,,59177.0,17,0.000248000,,88,,,,,False,,1,,,,-1
1762618222.655176000,172.17.17.16,224.0.0.252,65,,53091.0,17,0.000271000,,51,,,,,False,,1,,,,-1
1762618222.658291000,172.17.19.207,192.34.20.166,54,58532.0,,6,0.000281000,0x0010,40,,14,1,1,True,65280,128,,,,-1
